ulan_id,profession_type,count
http://vocab.getty.edu/aat/300025122,illuminators (manuscript artists),5
http://vocab.getty.edu/aat/300025123,illustrators,60
http://vocab.getty.edu/aat/300236867,impresarios,2
http://vocab.getty.edu/aat/300025203,industrial designers,103
http://vocab.getty.edu/aat/300025082,industrial engineers,3
http://vocab.getty.edu/aat/300025226,industrialists,28
http://vocab.getty.edu/aat/300025269,inlayers,1
http://vocab.getty.edu/aat/300265517,installation artists,22
http://vocab.getty.edu/aat/300026002,institutes (organizations),187
http://vocab.getty.edu/aat/300026004,institutions (organizations),24
http://vocab.getty.edu/aat/300386631,instructors,4
http://vocab.getty.edu/aat/300227488,instrument makers,15
http://vocab.getty.edu/aat/300162547,interior decorators,96
http://vocab.getty.edu/aat/300025205,interior designers,2663
http://vocab.getty.edu/aat/300025602,interpreters (translators),2
http://vocab.getty.edu/aat/300025845,inventors,41
http://vocab.getty.edu/aat/300025320,ironsmiths,14
http://vocab.getty.edu/aat/300006296,ironworks (factories),6
http://vocab.getty.edu/aat/300025409,jewelers (people in crafts),38
http://vocab.getty.edu/aat/300025376,joiners,6
http://vocab.getty.edu/aat/300025501,journalists,47
http://vocab.getty.edu/aat/300025625,judges,2
http://vocab.getty.edu/aat/300236907,jurists,8
http://vocab.getty.edu/aat/300025481,kings (people),160
http://vocab.getty.edu/aat/300230874,knights (landholders),6
http://vocab.getty.edu/aat/300007660,laboratories,10
http://vocab.getty.edu/aat/300025888,laborers,1
http://vocab.getty.edu/aat/300025358,lace makers,3
http://vocab.getty.edu/aat/300230871,landowners,33
http://vocab.getty.edu/aat/300024993,landscape architects,2287
http://vocab.getty.edu/aat/300386171,landscape architecture firms,508
http://vocab.getty.edu/aat/300025410,lapidaries (people),3
http://vocab.getty.edu/aat/300025627,lawyers,55
http://vocab.getty.edu/aat/300236993,leaders (people),7
http://vocab.getty.edu/aat/300025288,leatherworkers,1
http://vocab.getty.edu/aat/300380097,letter carriers,1
http://vocab.getty.edu/aat/300025115,letterers,1
http://vocab.getty.edu/aat/300025554,lexicographers,2
http://vocab.getty.edu/aat/300025555,librarians,10
http://vocab.getty.edu/aat/300312241,libraries (institutions),56
http://vocab.getty.edu/aat/300025674,librettists,3
http://vocab.getty.edu/aat/300386275,lighting designers,189
http://vocab.getty.edu/aat/300025561,linguists,3
http://vocab.getty.edu/aat/300025522,literary critics,5
http://vocab.getty.edu/aat/300025175,lithographers,4
http://vocab.getty.edu/aat/300025336,locksmiths,2
http://vocab.getty.edu/aat/300251917,makers,8
http://vocab.getty.edu/aat/300025435,managers,15
http://vocab.getty.edu/aat/300264603,manufactories,120
http://vocab.getty.edu/aat/300386268,manufactory directors,1
http://vocab.getty.edu/aat/300025230,manufacturers,312
http://vocab.getty.edu/aat/300263264,marble workers,10
http://vocab.getty.edu/aat/300250804,marquises (noblemen),4
http://vocab.getty.edu/aat/300025040,masons (construction workers),116
http://vocab.getty.edu/aat/300386353,master builders,36
http://vocab.getty.edu/aat/300025904,masters (professionals),10
http://vocab.getty.edu/aat/300025786,mathematicians,15
http://vocab.getty.edu/aat/300025085,mechanical engineers,5
http://vocab.getty.edu/aat/300025272,mechanics (people),1
http://vocab.getty.edu/aat/300025337,medalists,38
http://vocab.getty.edu/aat/300136445,members of Congress,1
http://vocab.getty.edu/aat/300025469,members of Parliament,2
http://vocab.getty.edu/aat/300025928,men (male humans),17
http://vocab.getty.edu/aat/300025378,menuisiers,39
http://vocab.getty.edu/aat/300025245,merchants,82
http://vocab.getty.edu/aat/300025297,metalworkers,51
http://vocab.getty.edu/aat/300386325,metalworking studios (organizations),3
